	id	text	misogynous	aggressiveness	clean
0	1	@KassemAmin4 @Laylasexgdr Fatti trovare  te lo do volentieri e ti sborro in bocca	1	1	@kassemamin4 @laylasexgdr @kassemamin4 @laylasexgdr fatti te lo ti bocca
1	2	@meb Tu dovresti ricominciare dai semafori a fare la lavavetri..ma tranquilla tanto il vitalizio ti resterà in gola	1	1	tu semafori la lavavetri il vitalizio ti gola
2	3	"Amore,sei presentabile? Xchè così via Skype ti faccio conoscere i miei parenti..."" e fu così che da un tablet ho conosciuto i parenti terroni della mia tettona,prendendomi un ""avete già finito di pranzare? beh si,voi al nord siete diversi..."" Dal nord è tutto,a voi..."""	1	1	amore skype ti i miei parenti un tablet i parenti terroni tettona si voi nord nord tutto voi
3	4	@Il_nulla Salvo poi mandare la culona a Mosca, aummaumm, per farsi dare da Putin commesse multimiliardarie e metterlo in quel posto ai FRATELLI della UE (tra i quali NOI)	1	0	salvo la culona mosca aummaumm putin commesse quel posto fratelli ue i quali noi
4	5	@GiorgiaMeloni @FratellidItaIia Vediamo Gentiloni, è ora di finirla di essere servili! Pensiamo al danno che la Francia ci ha fatto con Sarkosy e la culona della Merkel con il bombardamento della Libia	1	1	@giorgiameloni @fratelliditaiia gentiloni danno la francia ci sarkosy la culona merkel il bombardamento libia
5	6	@alinefenaroly Che cagna che sei anke io voglio fare pasqua cosi con te mmmmmm	1	1	@alinefenaroly che che anke io pasqua te mmmmmm
6	7	@Alex82564331 Bella figa da scopare	1	1	figa
7	8	Puttana — ma che cazzo ne sai tu ma la smetti https://t.co/BNpkOWXXQ0	1	1	puttana che cazzo ne tu https://t.co/bnpkowxxq0
8	9	@elheartmash Ti inculo https://t.co/Bs92ZWOYr5	1	1	@elheartmash ti inculo https://t.co/bs92zwoyr5
9	10	Finalmente di nuovo con la mia polpettona culona coccodrillosa ❤. https://t.co/HhVIJySiLc	1	1	la mia polpettona culona ❤ https://t.co/hhvijysilc
10	11	@ValeSantaSubito che puttanone	1	1	
11	12	@ficamiatop Ti scopo la figa	1	1	ti scopo la figa
12	13	Mi è piaciuto un video di @YouTube: https://t.co/hqmB5QNeN1 20 MOTIVI PER USCIRE CON UNA TETTONA	1	1	mi un video @youtube https://t.co/hqmb5qnen1 motivi per uscire una tettona
13	14	@SailorNuzz Ah tettona	1	0	ah tettona
14	15	@pheiticeira @SailorNuzz Hai visto suoi stories ?la tettona	1	0	@pheiticeira stories la tettona
15	16	@leone5264 @TwittGiorgio @ilgiornale Abbiamo già avuto  MONTI,, ed abbiamo visto cosa ha fatto ,, assieme alla Fornero,, servi dell' Europa ,leccaculi della culona e di Sarkozy	1	1	monti cosa alla fornero servi europa leccaculi culona sarkozy
16	17	Comunque Chiara Ferragni tettona sicuramente fra i regali più belli di questo 2018.	1	1	chiara ferragni i regali questo
17	18	@sdeangelis56 Il problema è sorto da quando il premier francese fece assassinare Gheddafi in combutta con il presidente USA e la culona tedesca.	1	1	@sdeangelis56 il problema il premier gheddafi combutta il presidente usa la culona
18	19	@marica_love23 @MattleyR Marica seguimi ti scopo io troia	1	1	@mattleyr marica ti io troia
19	20	Zitta puttana ti metto i coglioni in gola https://t.co/IXMZmVfB7V	1	1	zitta puttana ti i coglioni gola https://t.co/ixmzmvfb7v
20	21	#Isola sto rivedendo replica dell'isola. Elena schifosa lurida, ma chiudi la boccaccia  Cattiva perfida	1	1	# isola replica isola elena la boccaccia
21	22	@sexyforyou74 Puttanona Adorata ??	1	1	@sexyforyou74 @sexyforyou74 puttanona adorata
22	23	@erisdelrey perché sei una figa di legno, giusto?	1	1	una figa legno
23	24	Tremenda culona rica.. @Esposos33 https://t.co/yTj3zRs9mA	1	0	culona @esposos33 https://t.co/ytj3zrs9ma
24	25	@Melissa_Merz Che tettona?	1	0	che tettona
25	26	@meb Loro purtroppo hanno dei problemi, tu invece i problemi li hai creati e continui imperterrita a crearli, quando sarà che ti togli definitivamente dai coglioni, rendi il maltolto e vai a vangare??? Sparisci figa di legno!!!	1	1	loro dei problemi tu i problemi li ti coglioni il maltolto figa legno
26	27	@DirtyElaine Non sparire però :) tettona bella	1	0	tettona
27	28	mi fa schifo al cazzo lei e la sua mentalità di merda porca puttana ma muori	1	1	mi cazzo lei la sua mentalità merda puttana
28	29	@Libero_official Grande Laurito. Quindi la Asia Argento ci sta dicendo che quasi tutte quelle che hanno avuto successo, premi, riconoscimenti, sono delle gran puttane? E che lei - non da meno- è offesa perchè oltre ad iniezione di carne non ha avuto altro	1	1	@libero_official grande laurito la asia argento ci tutte quelle che successo premi riconoscimenti delle gran puttane lei iniezione carne altro
29	30	Non ho voglia di lasciare il mio lago x farmi 3 ore fino a Malpensa x la mia tettona...Che palleeeeee...	1	0	voglia il mio lago ore malpensa la mia tettona che che palleeeeee
30	31	RT @loveyinseok: @agustdoIl Che troia che sei https://t.co/T9PcTOXFbm	1	1	rt @loveyinseok @agustdoil che troia che https://t.co/t9pctoxfbm
31	32	@SexyRamonaXXX @Martatoia_va Ti sborro sulla lingua ... ovviamente	1	1	@sexyramonaxxx @martatoia_va ti lingua
32	33	COME DIVENTARE UN PUTTANONE DA BATTAGLIA!: https://t.co/E7qcbpthn3 tramite @YouTube	1	1	diventare un un puttanone da battaglia https://t.co/e7qcbpthn3
33	34	#Selvaggilucarelli non sa recitare, non sa ballare, non sa presentare, diciamo che non sa fare nulla e l'unico motivo per cui si trova in tv è perchè è un puttanone che l'ha data a mezzo mondo...	1	1	# selvaggilucarelli nulla l'unico motivo cui si tv un puttanone che l' mondo
34	35	@cmswllng @erika_battiston Che bella pompinara	1	1	@cmswllng @cmswllng @erika_battiston che pompinara
35	36	@meb Echi se ne frega di te e delle tue amiche tu sei una lurida che si prende un casino di soldi da noi italiani x non fare un cazzo scusa se uso il francese x il mio disappunto nei tuoi confronti ciaonee	1	1	se ne te amiche tu una lurida che si un casino soldi noi italiani un cazzo uso il francese il mio disappunto confronti ciaonee
36	37	Qualsiasi cosa possa aver fatto o detto #RaoulBova, #SelvaggiaLucarelli @stanzaselvaggia si propone sempre per quello che è: una maleducata, villana, acida, pronta a attaccare tutto e tutti per fare show. @Ballando_Rai da lei ricava solo una brutta pubblicità. Peccato. https://t.co/A8gyHpKj0N	1	0	qualsiasi cosa # raoulbova # selvaggialucarelli @stanzaselvaggia si quello che una maleducata villana tutto tutti show lei una brutta pubblicità
37	38	@GILDA31395269 che bella coda di cavalla da tirare mentre ti inculo	1	1	@gilda31395269 che bella coda cavalla ti
38	39	@GILDA31395269 ed io ti inculo carissima GILDA	1	1	@gilda31395269 io ti gilda
39	40	@WeirdLifeHacks @ChemistryVids_ Il trucco del perfetto puttanone	1	1	il trucco puttanone
40	41	@sole24ore @carlottaventura @MarcoPatuano @poliziadistato ma li sbocchini pe fatte protegge la troia che sei?	1	1	@poliziadistato li li sbocchini pe la troia che
41	42	Ti lascio che eri una brava ragazza e ti ritrovo un puttanone #upas	1	1	ti una brava ragazza ti un puttanone # upas
42	43	fIgA dI lEgNo	1	1	di legno
43	44	@scopgdrx scrivimi in dm se vuoi essere sottomessa, troia	1	1	scrivimi dm se troia
44	45	@riccionecp complimenti cara signora che gran bel culone . Tutto da leccare e succhiare . Mmmmm	1	1	@riccionecp complimenti signora che culone tutto
45	46	@LirosNoble @EdwardRedfern Ma che c'entra il sessimo? Se dico che Weinstein è un puttaniere porco e maniaco sessuale va bene, ma se dico che Selvaggia Lucarelli è un puttanone è sessismo?	1	1	@edwardredfern che c' weinstein un puttaniere selvaggia lucarelli un puttanone sessismo
46	47	Se scrivi che Weinstein o Trump sono dei porci e dei maniaci tutti applaudono, ma se dici che Selvaggia Lucarelli è un puttanone sei sessista...	1	1	weinstein trump porci maniaci tutti selvaggia lucarelli un puttanone sessista
47	48	@claranderson21 @paulaharrys19 @solewinter Che tettona	1	1	@claranderson21 @claranderson21 @paulaharrys19 @solewinter che che tettona
