id	text	misogynous	aggressiveness	nps	clean
1	@KassemAmin4 @Laylasexgdr Fatti trovare  te lo do volentieri e ti sborro in bocca	1	1	@KassemAmin4 @Laylasexgdr Fatti te lo ti in bocca	fatti trovare te lo do volentieri e ti sborro in bocca
2	@meb Tu dovresti ricominciare dai semafori a fare la lavavetri..ma tranquilla tanto il vitalizio ti resterà in gola	1	1	Tu dai semafori la lavavetri tranquilla tanto il vitalizio ti in gola	tu dovresti ricominciare dai semafori a fare la lavavetri..ma tranquilla tanto il vitalizio ti resterà in gola
3	"Amore,sei presentabile? Xchè così via Skype ti faccio conoscere i miei parenti..."" e fu così che da un tablet ho conosciuto i parenti terroni della mia tettona,prendendomi un ""avete già finito di pranzare? beh si,voi al nord siete diversi..."" Dal nord è tutto,a voi..."""	1	1	"Amore, Skype ti i miei parenti da un tablet i parenti terroni della mia tettona si voi al nord "" Dal nord è tutto,a voi..."""	"amore,sei presentabile? xchè così via skype ti faccio conoscere i miei parenti..."" e fu così che da un tablet ho conosciuto i parenti terroni della mia tettona,prendendomi un ""avete già finito di pranzare? beh si,voi al nord siete diversi..."" dal nord è tutto,a voi..."""
4	@Il_nulla Salvo poi mandare la culona a Mosca, aummaumm, per farsi dare da Putin commesse multimiliardarie e metterlo in quel posto ai FRATELLI della UE (tra i quali NOI)	1	0	@Il_nulla Salvo la culona a Mosca, aummaumm da Putin commesse multimiliardarie in quel posto ai FRATELLI della UE (tra i quali NOI)	salvo poi mandare la culona a mosca, aummaumm, per farsi dare da putin commesse multimiliardarie e metterlo in quel posto ai fratelli della ue (tra i quali noi)
5	@GiorgiaMeloni @FratellidItaIia Vediamo Gentiloni, è ora di finirla di essere servili! Pensiamo al danno che la Francia ci ha fatto con Sarkosy e la culona della Merkel con il bombardamento della Libia	1	1	@GiorgiaMeloni @FratellidItaIia Gentiloni al danno che la Francia ci ha fatto con Sarkosy e la culona della Merkel con il bombardamento della Libia	vediamo gentiloni, è ora di finirla di essere servili! pensiamo al danno che la francia ci ha fatto con sarkosy e la culona della merkel con il bombardamento della libia
6	@alinefenaroly Che cagna che sei anke io voglio fare pasqua cosi con te mmmmmm	1	1	@alinefenaroly Che che sei anke io pasqua con te mmmmmm	che cagna che sei anke io voglio fare pasqua cosi con te mmmmmm
7	@Alex82564331 Bella figa da scopare	1	1	@Alex82564331 Bella figa da scopare	bella figa da scopare
8	Puttana — ma che cazzo ne sai tu ma la smetti https://t.co/BNpkOWXXQ0	1	1	Puttana — ma che cazzo ne sai tu ma la smetti https://t.co/BNpkOWXXQ0	puttana — ma che cazzo ne sai tu ma la smetti
9	@elheartmash Ti inculo https://t.co/Bs92ZWOYr5	1	1	@elheartmash Ti inculo https://t.co/Bs92ZWOYr5	ti inculo
10	Finalmente di nuovo con la mia polpettona culona coccodrillosa ❤. https://t.co/HhVIJySiLc	1	1	con la mia polpettona culona coccodrillosa ❤ https://t.co/HhVIJySiLc	finalmente di nuovo con la mia polpettona culona coccodrillosa ❤.
11	@ValeSantaSubito che puttanone	1	1	@ValeSantaSubito che puttanone	che puttanone
12	@ficamiatop Ti scopo la figa	1	1	@ficamiatop Ti scopo la figa	ti scopo la figa
13	Mi è piaciuto un video di @YouTube: https://t.co/hqmB5QNeN1 20 MOTIVI PER USCIRE CON UNA TETTONA	1	1	Mi un video di @YouTube https://t.co/hqmB5QNeN1 20 MOTIVI PER USCIRE CON UNA TETTONA	mi è piaciuto un video di 20 motivi per uscire con una tettona
14	@SailorNuzz Ah tettona	1	0	@SailorNuzz Ah tettona	ah tettona
15	@pheiticeira @SailorNuzz Hai visto suoi stories ?la tettona	1	0	@pheiticeira suoi stories la tettona	hai visto suoi stories ?la tettona
16	@leone5264 @TwittGiorgio @ilgiornale Abbiamo già avuto  MONTI,, ed abbiamo visto cosa ha fatto ,, assieme alla Fornero,, servi dell' Europa ,leccaculi della culona e di Sarkozy	1	1	MONTI cosa , assieme alla Fornero,, servi dell' Europa ,leccaculi della culona e di Sarkozy	abbiamo già avuto monti,, ed abbiamo visto cosa ha fatto ,, assieme alla fornero,, servi dell' europa ,leccaculi della culona e di sarkozy
17	Comunque Chiara Ferragni tettona sicuramente fra i regali più belli di questo 2018.	1	1	Comunque Chiara Ferragni tettona sicuramente fra i regali più belli di questo 2018.	comunque chiara ferragni tettona sicuramente fra i regali più belli di questo 2018.
18	@sdeangelis56 Il problema è sorto da quando il premier francese fece assassinare Gheddafi in combutta con il presidente USA e la culona tedesca.	1	1	@sdeangelis56 Il problema il premier francese Gheddafi in combutta con il presidente USA e la culona tedesca	il problema è sorto da quando il premier francese fece assassinare gheddafi in combutta con il presidente usa e la culona tedesca.
19	@marica_love23 @MattleyR Marica seguimi ti scopo io troia	1	1	@MattleyR Marica seguimi ti io troia	marica seguimi ti scopo io troia
20	Zitta puttana ti metto i coglioni in gola https://t.co/IXMZmVfB7V	1	1	Zitta puttana ti i coglioni in gola https://t.co/IXMZmVfB7V	zitta puttana ti metto i coglioni in gola
21	#Isola sto rivedendo replica dell'isola. Elena schifosa lurida, ma chiudi la boccaccia  Cattiva perfida	1	1	#Isola replica dell'isola Elena schifosa lurida, ma chiudi la boccaccia  Cattiva perfida	#isola sto rivedendo replica dell'isola. elena schifosa lurida, ma chiudi la boccaccia cattiva perfida
22	@sexyforyou74 Puttanona Adorata ??	1	1	@sexyforyou74 Puttanona Adorata ??	puttanona adorata ??
23	@erisdelrey perché sei una figa di legno, giusto?	1	1	@erisdelrey perché sei una figa di legno, giusto?	perché sei una figa di legno, giusto?
24	Tremenda culona rica.. @Esposos33 https://t.co/yTj3zRs9mA	1	0	culona .. @Esposos33 https://t.co/yTj3zRs9mA	tremenda culona rica..
25	@Melissa_Merz Che tettona?	1	0	@Melissa_Merz Che tettona?	che tettona?
26	@meb Loro purtroppo hanno dei problemi, tu invece i problemi li hai creati e continui imperterrita a crearli, quando sarà che ti togli definitivamente dai coglioni, rendi il maltolto e vai a vangare??? Sparisci figa di legno!!!	1	1	Loro dei problemi tu i problemi li ti dai coglioni il maltolto figa di legno	loro purtroppo hanno dei problemi, tu invece i problemi li hai creati e continui imperterrita a crearli, quando sarà che ti togli definitivamente dai coglioni, rendi il maltolto e vai a vangare??? sparisci figa di legno!!!
27	@DirtyElaine Non sparire però :) tettona bella	1	0	@DirtyElaine Non sparire però :) tettona bella	non sparire però :) tettona bella
28	mi fa schifo al cazzo lei e la sua mentalità di merda porca puttana ma muori	1	1	mi al cazzo lei e la sua mentalità di merda porca puttana	mi fa schifo al cazzo lei e la sua mentalità di merda porca puttana ma muori
29	@Libero_official Grande Laurito. Quindi la Asia Argento ci sta dicendo che quasi tutte quelle che hanno avuto successo, premi, riconoscimenti, sono delle gran puttane? E che lei - non da meno- è offesa perchè oltre ad iniezione di carne non ha avuto altro	1	1	@Libero_official Grande Laurito. la Asia Argento ci che quasi tutte quelle che hanno avuto successo, premi, riconoscimenti, sono delle gran puttane lei - oltre ad iniezione di carne altro	grande laurito. quindi la asia argento ci sta dicendo che quasi tutte quelle che hanno avuto successo, premi, riconoscimenti, sono delle gran puttane? e che lei - non da meno- è offesa perchè oltre ad iniezione di carne non ha avuto altro
